Hash_Algo,Seq_Length_n,K_Size,Collision_Count,Insert_Table_Time_sec,Search_Time_sec
MMH3,10000,5,1024,0.031431, 0.002334
MMH3,10000,6,3729,0.032805, 0.002456
MMH3,10000,7,7519,0.034522, 0.002629
MMH3,100000,5,1024,0.271672, 0.002272
MMH3,100000,6,4096,0.291223, 0.002593
MMH3,100000,7,16342,0.339805, 0.002550
MMH3,1000000,5,1024,3.012947, 0.002567
MMH3,1000000,6,4096,3.355457, 0.002678
MMH3,1000000,7,16384,3.479298, 0.002692
